,title,abstract
12620797,Modulation of interferon expression by hepatitis C virus NS5A protein and human homeodomain protein PTX1.,"Hepatitis C virus (HCV) NS5A protein transcriptionally modulates a number of cellular genes. Since there is no evidence of binding of NS5A protein to DNA, it is likely to exert its activity in concert with cellular factor(s). In this study, we have identified a specific interaction of HCV NS5A with homeodomain protein PTX1 of human origin by a yeast two-hybrid interacting cloning system. The authenticity of this interaction was verified by mammalian two-hybrid assay, in vivo co-immunoprecipitation analysis, and from a colocalization study. Recently, murine PTX1 (mPTX1) has been shown to repress virus-induced murine interferonA4 promoter activity. Interferon-à alone or together with ribavirin is the only available therapy for HCV-infected patients. Therefore, we examined whether coexpression of NS5A and human PTX1 (hPTX1) proteins modulate human IFN-à promoter activity. An in vitro reporter assay by transfection of HepG2 cells with NS5A suggested an activation of IFN-à promoter to approximately 20-fold upon Newcastle disease virus (NDV) infection. Under similar experimental conditions, hPTX1-activated IFN-à prompter to approximately sevenfold, unlike mPTX1. However, cotransfection of NS5A and hPTX1 displayed a lower interferon promoter activity, probably for physical association between these two proteins. Subsequent study demonstrated that activation of IFN promoter by NS5A is associated with an increased expression of IRF-3. Further analysis revealed that ectopic expression of NS5A in HepG2 cells enhances endogenous IFN-à secretion and MxA expression upon induction with NDV. However, exogenous expression of hPTX1 did not significantly alter NS5A-mediated function in the stable transfectants. Taken together, these results suggested that the level of endogenous hPTX1 is not sufficient to block the function of NS5A for augmentation of virus-mediated IFN activity in HepG2 cells."
14623081,Direct interaction between alpha-actinin and hepatitis C virus NS5B.,"It has been suggested that cellular proteins are involved in hepatitis C virus (HCV) RNA replication. By using the yeast two-hybrid system, we isolated seven cDNA clones encoding proteins interacting with HCV RNA polymerase (NS5B) from a human liver cDNA library. For one of these, alpha-actinin, we confirmed the interaction by coimmunoprecipitation, immunofluorescent staining and confocal microscopic analysis. Experiments with deletion mutants showed that domains NS5B(84-95), NS5B(466-478), and alpha-actinin(621-733) are responsible for the interaction. Studies of the HCV subgenomic replicon system with small interference RNA indicate that alpha-actinin is essential for HCV RNA replication. Our results suggest alpha-actinin may be a component of the HCV replication complex."
12634373,Interaction with a ubiquitin-like protein enhances the ubiquitination and degradation of hepatitis C virus RNA-dependent RNA polymerase.,"To identify potential cellular regulators of hepatitis C virus (HCV) RNA-dependent RNA polymerase (NS5B), we searched for cellular proteins interacting with NS5B protein by yeast two-hybrid screening of a human hepatocyte cDNA library. We identified a ubiquitin-like protein, hPLIC1 (for human homolog 1 of protein linking intergrin-associated protein and cytoskeleton), which is expressed in the liver (M. F. Kleijnen, A. H. Shih, P. Zhou, S. Kumar, R. E. Soccio, N. L. Kedersha, G. Gill, and P. M. Howley, Mol. Cell 6: 409-419, 2000). In vitro binding assays and in vivo coimmunoprecipitation studies confirmed the interaction between hPLIC1 and NS5B, which occurred through the ubiquitin-associated domain at the C terminus of the hPLIC1 protein. As hPLICs have been shown to physically associate with two E3 ubiquitin protein ligases as well as proteasomes (Kleijnen et al., Mol. Cell 6: 409-419, 2000), we investigated whether the stability and posttranslational modification of NS5B were affected by hPLIC1. A pulse-chase labeling experiment revealed that overexpression of hPLIC1, but not the mutant lacking the NS5B-binding domain, significantly shortened the half-life of NS5B and enhanced the polyubiquitination of NS5B. Furthermore, in Huh7 cells that express an HCV subgenomic replicon, the amounts of both NS5B and the replicon RNA were reduced by overexpression of hPLIC1. Thus, hPLIC1 may be a regulator of HCV RNA replication through interaction with NS5B."
17006541,Regulation of TopBP1 oligomerization by Akt/PKB for cell survival.,"Regulation of E2F1-mediated apoptosis is essential for proper cellular growth. This control requires TopBP1, a BRCT (BRCA1 carboxyl-terminal) domain-containing protein, which interacts with E2F1 but not other E2Fs and represses its proapoptotic activity. We now show that the regulation of E2F1 by TopBP1 involves the phosphoinositide 3-kinase (PI3K)-Akt signaling pathway, and is independent of pocket proteins. Akt phosphorylates TopBP1 in vitro and in vivo. Phosphorylation by Akt induces oligomerization of TopBP1 through its seventh and eighth BRCT domains. The Akt-dependent oligomerization is crucial for TopBP1 to interact with and repress E2F1. Akt phosphorylation is also required for interaction between TopBP1 and Miz1 or HPV16 E2, and repression of Miz1 transcriptional activity, suggesting a general role for TopBP1 oligomerization in the control of transcription factors. Together, this study defines a novel pathway involving PI3K-Akt-TopBP1 for specific control of E2F1 apoptosis, in parallel with cyclin-Cdk-Rb for general control of E2F activities."
11689660,"Interaction of zyxin, a focal adhesion protein, with the e6 protein from human papillomavirus type 6 results in its nuclear translocation.","Zyxin, a focal adhesion molecule, interacts specifically with the E6 protein from human papillomavirus (HPV) type 6 in a yeast two-hybrid screen of a cDNA library prepared from human keratinocytes. Zyxin does not interact significantly with E6 proteins from HPV types 11, 16, or 18. The interaction was confirmed by in vitro and in vivo analyses and it requires the LIM domains (Lin-11, Isl-1, and Mec-3 [G. Freyd, S. K. Kim, and H. R. Horvitz, Nature 344:876-879, 1990]) found at the carboxyl terminus of zyxin. Cotransfection of E6 from HPV ((6)E6) and zyxin results in the accumulation of zyxin in the nucleus where it can function as a transcriptional activator. (6)E6 can also mobilize endogenous zyxin to the nucleus."
11119584,"Gps2, a protein partner for human papillomavirus E6 proteins.","We have used the yeast two-hybrid system to screen a cDNA library prepared from normal human epidermal keratinocytes and identified protein partners for human papilloma virus (HPV) E6 proteins. A clone that encoded Gps2 interacted with E6 proteins from HPVs of high and low oncogenic risk. The specificity of these reactions was verified and the regions of E6 that were required for interaction were mapped. Steady-state and pulse-chase analyses of cells cotransfected with DNAs expressing E6 from either HPV6 or HPV18 and Gps2 demonstrated that the E6 proteins induced the degradation of Gps2 in vivo but not in vitro. Gps2 exhibited transcriptional activation activity, and high-risk E6 suppressed this activity."
11713253,Human papillomavirus type 16 E7 binds to E2F1 and activates E2F1-driven transcription in a retinoblastoma protein-independent manner.,"The human papillomavirus (HPV) E7 oncoprotein can immortalize primary human cells and induce tumor formation. These properties of E7 depend on its ability to inhibit the activity of retinoblastoma protein (pRB), which in turn affects E2F function. E2F proteins control the expression of genes involved in differentiation, development, cell proliferation, and apoptosis. By using genetic and biochemical approaches, the present study shows that E7 binds to E2F1 in vivo and in vitro and that both proteins co-localize in the nucleus. Importantly, the binding of the high risk group HPV E7 to E2F1 is tighter than the binding of the low risk group HPV E7 to E2F1. Although E7 of the high risk group HPVs activates E2F1-dependent transcription strongly in C33A or 293T cells, E7 of the low risk group HPVs activates transcription only weakly. By using electrophoretic mobility shift assay, we also showed that E7 binds to E2F1-DNA complexes. Furthermore, we show that these activities of E7 are independent of pRB by using E7 and E2F1 mutants that cannot bind to pRB. Taken together, these data suggest that E7 contributes to the deregulation of pRB-dependent E2F1 repression and to the further activation of E2F1 independently of pRB."
9326658,Binding of high-risk human papillomavirus E6 oncoproteins to the human homologue of the Drosophila discs large tumor suppressor protein.,"In the majority of cervical cancers, DNAs of high-risk mucosotpropic human papillomaviruses (HPVs), such as type 16, are maintained so as to express two viral proteins, E6 and E7, suggesting an essential importance to carcinogenesis. The high-risk HPV E6 proteins are known to inactivate p53 tumor suppressor protein but appear to have an additional, molecularly unknown function(s). In this study, we demonstrate that these E6 proteins can bind to the second PDZ domain of the human homologue of the Drosophila discs large tumor suppressor protein (hDLG) through their C-terminal XS/TXV/L (where X represents any amino acid, S/T serine or threonine, and V/L valine or leucine) motif. This finding is similar to the interaction between the adenomatous polyposis coli gene product and hDLG. E6 mutants losing the ability to bind to hDLG are no longer able to induce E6-dependent transformation of rodent cells. These results suggest an intriguing possibility that interaction between the E6 protein and hDLG or other PDZ domain-containing proteins could be an underlying mechanism in the development of HPV-associated cancers."
10487758,The E6 protein of human papillomavirus type 16 binds to and inhibits co-activation by CBP and p300.,"The co-activators CBP and p300 are important for normal cell differentiation and cell cycle progression and are the targets for viral proteins that dysregulate these cellular processes. We show here that the E6 protein from the oncogenic human papillomavirus type 16 (HPV-16) binds to three regions (C/H1, C/H3 and the C-terminus) of both CBP and p300. The interaction of E6 with CBP/p300 was direct and independent of proteins known to bind the co-activators, such as p53. The E6 protein from low-risk HPV type 6 did not interact with C/H3 or the C-terminus but associated with the C/H1 domain at 50% of the level of HPV-16. HPV-16 E6 inhibited the intrinsic transcriptional activity of CBP/p300 and decreased the ability of p300 to activate p53- and NF-kappaB-responsive promoter elements. Interestingly, some mutations in HPV-16 E6 abrogated C/H3-E6 interactions, but did not alter the ability of E6 to associate with the C/H1 domain, suggesting that these modified proteins could be used to delineate the functional significance of the C/H1 and C/H3 domains of CBP/p300."
15044019,HBZ interacts with JunD and stimulates its transcriptional activity.,"Human T-cell leukemia virus type I (HTLV-I) bZIP factor (HBZ) is a viral basic leucine zipper protein that was originally described as a partner of cAMP response element binding protein-2 and as a repressor of HTLV-I viral transcription. In addition, HBZ is able to interact with the activator protein-1 (AP-1) transcription factors c-Jun and JunB, the interaction with c-Jun leading to a transcriptional repression of AP-1-regulated genes. Here we show that HBZ also interacts with JunD in vitro and in vivo, and that this association occurs via the bZIP domain of the two proteins. Moreover, we show that HBZ can activate JunD-dependent transcription and that its amino-terminus is required."
16917502,PRA1 promotes the intracellular trafficking and NF-kappaB signaling of EBV latent membrane protein 1.,"Latent membrane protein 1 (LMP1), which is an Epstein-Barr virus (EBV)-encoded oncoprotein, induces nuclear factor-kappa B (NF-kappaB) signaling by mimicking the tumor necrosis factor receptor (TNFR). LMP1 signals primarily from intracellular compartments in a ligand-independent manner. Here, we identify a new LMP1-interacting molecule, prenylated Rab acceptor 1 (PRA1), which interacts with LMP1 for the first time through LMP1's transmembrane domain, and show that PRA1 is involved in intracellular LMP1 trafficking and LMP1-induced NF-kappaB activity. Immunofluorescence and biochemical analyses revealed that LMP1 physically interacted with PRA1 at the Golgi apparatus, and the colocalization of LMP1 and PRA1 to the Golgi was sensitive to nocodazole and brefeldin A. Coexpression of a PRA1 export mutant or knockdown of PRA1 led to redistribution of LMP1 and its associated signaling molecules to the endoplasmic reticulum and subsequent impairment of LMP1-induced NF-kappaB activation, but had no effect on CD40- and TNFR1-mediated signaling or the functional integrity of the Golgi apparatus. These novel findings provide important new insights into LMP1, and identify an unexpected new role for PRA1 in cellular signaling."
17024179,Hepatitis C virus RNA replication is regulated by FKBP8 and Hsp90.,"Hepatitis C virus (HCV) nonstructural protein 5A (NS5A) is a component of viral replicase and is well known to modulate the functions of several host proteins. Here, we show that NS5A specifically interacts with FKBP8, a member of the FK506-binding protein family, but not with other homologous immunophilins. Three sets of tetratricopeptide repeats in FKBP8 are responsible for interactions with NS5A. The siRNA-mediated knockdown of FKBP8 in a human hepatoma cell line harboring an HCV RNA replicon suppressed HCV RNA replication, and this reduction was reversed by the expression of an siRNA-resistant FKBP8 mutant. Furthermore, immunoprecipitation analyses revealed that FKBP8 forms a complex with Hsp90 and NS5A. Treatment of HCV replicon cells with geldanamycin, an inhibitor of Hsp90, suppressed RNA replication in a dose-dependent manner. These results suggest that the complex consisting of NS5A, FKBP8, and Hsp90 plays an important role in HCV RNA replication."
16963558,Influenza A virus NS1 protein binds p85beta and activates phosphatidylinositol-3-kinase signaling.,"Influenza A virus NS1 is a multifunctional protein, and in virus-infected cells NS1 modulates a number of host-cell processes by interacting with cellular factors. Here, we report that NS1 binds directly to p85beta, a regulatory subunit of phosphatidylinositol-3-kinase (PI3K), but not to the related p85alpha subunit. Activation of PI3K in influenza virus-infected cells depended on genome replication, and showed kinetics that correlated with NS1 expression. Additionally, it was found that expression of NS1 alone was sufficient to constitutively activate PI3K, causing the phosphorylation of a downstream mediator of PI3K signal transduction, Akt. Mutational analysis of a potential SH2-binding motif within NS1 indicated that the highly conserved tyrosine at residue 89 is important for both the interaction with p85beta, and the activation of PI3K. A mutant influenza virus (A/Udorn/72) expressing NS1 with the Y89F amino acid substitution exhibited a small-plaque phenotype, and grew more slowly in tissue culture than WT virus. These data suggest that activation of PI3K signaling in influenza A virus-infected cells is important for efficient virus replication."
16501113,Interaction of the adenovirus type 5 E4 Orf3 protein with promyelocytic leukemia protein isoform II is required for ND10 disruption.,"Nuclear domain 10 (ND10s), or promyelocytic leukemia protein (PML) nuclear bodies, are spherical nuclear structures that require PML proteins for their formation. Many viruses target these structures during infection. The E4 Orf3 protein of adenovirus 5 (Ad5) rearranges ND10s, causing PML to colocalize with Orf3 in nuclear tracks or fibers. There are six different PML isoforms (I to VI) present at ND10s, all sharing a common N terminus but with structural differences at their C termini. In this study, PML II was the only one of these six isoforms that was found to interact directly and specifically with Ad5 E4 Orf3 in vitro and in vivo; these results define a new Orf3 activity. Three of a series of 18 mutant Orf3 proteins were unable to interact with PML II; these were also unable to cause ND10 rearrangement. Moreover, in PML-null cells that contained neoformed ND10s comprising a single PML isoform, only ND10s formed of PML II were rearranged by Orf3. These data show that the interaction between Orf3 and PML II is necessary for ND10 rearrangement to occur. Finally, Orf3 was shown to self-associate in vitro. This activity was absent in mutant Orf3 proteins that were unable to form tracks and to bind PML II. Thus, Orf3 oligomerization may mediate the formation of nuclear tracks in vivo and may also be important for PML II binding."
15492812,The PDZ protein Tip-1 is a gain of function target of the HPV16 E6 oncoprotein.,"Previous work has indicated that the PDZ domain Tax interacting protein 1 (Tip-1) is a target of the HTLV1 Tax protein and is a potential RhoA effector. We have used the yeast two-hybrid system to show that Tip-1 also interacts with the HPV16 E6 protein. This interaction was confirmed by co-immunoprecipitation from E6 expressing C33A cervical carcinoma cells (C33A-E6) which showed that Tip-1 was not degraded by interaction with the HPV16 E6 oncoprotein. During routine passage we observed that C33A-E6 had a less compact morphology and were less adherent than control vector transfected cells C33A-V cells - a known effect of GTP-RhoA. Comparison of C33A-E6 to C33A-V demonstrated that E6 expressing cells had higher levels of phosphorylated myosin light chains (MLC) and increased cell motility, which was inhibited by antisense silencing of Tip-1 expression and by the RhoA kinase (ROCK) inhibitor Y27632. Both C33A-E6 and C33A-V cells were shown to express GTP activated RhoA. Since ROCKs can be activated by GTP RhoA these data indicate that E6 may increase cell motility by augmenting GTP RhoA mediated activation of ROCKs and that this is dependent on the expression of the Tip-1 protein."
18172216,SOCS1 is an inducible host factor during HIV-1 infection and regulates the intracellular trafficking and stability of HIV-1 Gag.,"Human immunodeficiency virus type 1 (HIV-1) utilizes the macromolecular machinery of the infected host cell to produce progeny virus. The discovery of cellular factors that participate in HIV-1 replication pathways has provided further insight into the molecular basis of virus-host cell interactions. Here, we report that the suppressor of cytokine signaling 1 (SOCS1) is an inducible host factor during HIV-1 infection and regulates the late stages of the HIV-1 replication pathway. SOCS1 can directly bind to the matrix and nucleocapsid regions of the HIV-1 p55 Gag polyprotein and enhance its stability and trafficking, resulting in the efficient production of HIV-1 particles via an IFN signaling-independent mechanism. The depletion of SOCS1 by siRNA reduces both the targeted trafficking and assembly of HIV-1 Gag, resulting in its accumulation as perinuclear solid aggregates that are eventually subjected to lysosomal degradation. These results together indicate that SOCS1 is a crucial host factor that regulates the intracellular dynamism of HIV-1 Gag and could therefore be a potential new therapeutic target for AIDS and its related disorders."
17991777,An influenza virus replicon system in yeast identified Tat-SF1 as a stimulatory host factor for viral RNA synthesis.,"Influenza viruses infect vertebrates, including mammals and birds. Influenza virus reverse-genetics systems facilitate the study of the structure and function of viral factors. In contrast, less is known about host factors involved in the replication process. Here, we developed a replication and transcription system of the negative-strand RNA genome of the influenza virus in Saccharomyces cerevisiae, which depends on viral RNAs, viral RNA polymerases, and nucleoprotein (NP). Disruption of SUB2 encoding an orthologue of human RAF-2p48/UAP56, a previously identified viral RNA synthesis stimulatory host factor, resulted in reduction of the viral RNA synthesis rate. Using a genome-wide set of yeast single-gene deletion strains, we found several host factor candidates affecting viral RNA synthesis. We found that among them, Tat-SF1, a mammalian homologue of yeast CUS2, was a stimulatory host factor in influenza virus RNA synthesis. Tat-SF1 interacted with free NP, but not with NP associated with RNA, and facilitated formation of RNA-NP complexes. These results suggest that Tat-SF1 may function as a molecular chaperone for NP, as does RAF-2p48/UAP56. This system has proven useful for further studies on the mechanism of influenza virus genome replication and transcription."
18836454,Phosphorylation of APOBEC3G by protein kinase A regulates its interaction with HIV-1 Vif.,"Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3G (APOBEC3G, referred to here as A3G) is a potent antiretroviral host factor against human immunodeficiency virus type 1 (HIV-1). HIV-1 viral infectivity factor (Vif) counteracts A3G by promoting its degradation via the ubiquitin-proteasome pathway. Recent studies demonstrated that protein kinase A (PKA) phosphorylates activation-induced deaminase (AID), another member of the APOBEC3 family. A3G has two putative PKA phosphorylation residues. Here we show that PKA binds and specifically phosphorylates A3G at Thr32 in vitro and in vivo. This phosphorylation event reduces the binding of A3G to Vif and its subsequent ubiquitination and degradation, and thus promotes A3G antiviral activity. Computer-assisted structural modeling and mutagenesis studies suggest that the interaction between A3G Thr32 and Arg24 is crucial for interaction with Vif. These data imply that PKA-mediated phosphorylation of A3G can regulate the interaction between A3G and Vif."
17698809,von Hippel Lindau binding protein 1-mediated degradation of integrase affects HIV-1 gene expression at a postintegration step.,"HIV-1 integrase, the viral enzyme responsible for provirus integration into the host genome, can be actively degraded by the ubiquitin-proteasome pathway. Here, we identify von Hippel-Lindau binding protein 1(VBP1), a subunit of the prefoldin chaperone, as an integrase cellular binding protein that bridges interaction between integrase and the cullin2 (Cul2)-based von Hippel-Lindau (VHL) ubiquitin ligase. We demonstrate that VBP1 and Cul2/VHL are required for proper HIV-1 expression at a step between integrase-dependent proviral integration into the host genome and transcription of viral genes. Using both an siRNA approach and Cul2/VHL mutant cells, we show that VBP1 and the Cul2/VHL ligase cooperate in the efficient polyubiquitylation of integrase and its subsequent proteasome-mediated degradation. Results presented here support a role for integrase degradation by the prefoldin-VHL-proteasome pathway in the integration-transcription transition of the viral replication cycle."
10381623,A novel adenovirus E1B19K-binding protein B5 inhibits apoptosis induced by Nip3 by forming a heterodimer through the C-terminal hydrophobic region.,"The adenovirus E1B19K protein inhibits apoptosis induced by E1A and other divergent signals. The cellular proteins that interact with E1B19K have been analyzed by isolating cDNA clones by the yeast two hybrid system. One of these clones encodes B5 which consists of 219 amino acid residues and contains the putative BH3 and transmembrane regions. B5 binds strongly to Nip3 and itself, weakly to E1B19K, but not to Bcl-2 and localizes in nuclear envelope, endoplasmic reticulum and mitochondria. B5 has sequence homology with Nip3 in the middle and C-terminal regions, but not in the N-terminal region. Unlike other E1B19K binding BH3 proteins so far characterized, B5 does not induce apoptosis, but inhibits apoptosis induced by Nip3. However the deletion mutant B5Delta1-31 lacking the N-terminus does induce apoptosis, although weaker than does Nip3, suggesting that the N-terminal region is masking the apoptosis-inducing capacity of B5."
7479821,Molecular cloning and characterization of a cellular phosphoprotein that interacts with a conserved C-terminal domain of adenovirus E1A involved in negative modulation of oncogenic transformation.,"The adenovirus type 2/5 E1A proteins transform primary baby rat kidney (BRK) cells in cooperation with the activated Ras (T24 ras) oncoprotein. The N-terminal half of E1A (exon 1) is essential for this transformation activity. While the C-terminal half of E1A (exon 2) is dispensable, a region located between residues 225 and 238 of the 243R E1A protein negatively modulates in vitro T24 ras cooperative transformation as well as the tumorigenic potential of E1A/T24 ras-transformed cells. The same C-terminal domain is also required for binding of a cellular 48-kDa phosphoprotein, C-terminal binding protein (CtBP). We have cloned the cDNA for CtBP via yeast two-hybrid interaction cloning. The cDNA encodes a 439-amino acid (48 kDa) protein that specifically interacts with exon 2 in yeast two-hybrid, in vitro protein binding, and in vivo coimmunoprecipitation analyses. This protein requires residues 225-238 of the 243R E1A protein for interaction. The predicted protein sequence of the isolated cDNA is identical to amino acid sequences obtained from peptides prepared from biochemically purified CtBP. Fine mapping of the CtBP-binding domain revealed that a 6-amino acid motif highly conserved among the E1A proteins of various human and animal adenoviruses is required for this interaction. These results suggest that interaction of CtBP with the E1A proteins may play a critical role in adenovirus replication and oncogenic transformation."
14517264,Transglutaminase 2 inhibits Rb binding of human papillomavirus E7 by incorporating polyamine.,"Transglutaminase 2 (TGase 2) is one of a family of enzymes that catalyze protein modification through the incorporation of polyamines into substrates or the formation of protein crosslinks. However, the physiological roles of TGase 2 are largely unknown. To elucidate the functions of TGase 2, we have searched for its interacting proteins. Here we show that TGase 2 interacts with E7 oncoprotein of human papillomavirus type 18 (HPV18) in vitro and in vivo. TGase 2 incorporates polyamines into a conserved glutamine residue in the zinc-binding domain of HPV18 E7 protein. This modification mediates the inhibition of E7's Rb binding ability. In contrast, TGase 2 does not affect HPV16 E7, due to absence of a glutamine residue at this polyamination site. Using E7 mutants, we demonstrate that TGase 2-dependent inhibition of HPV E7 function correlates with the presence of the polyamination site. Our results indicate that TGase 2 is an important cellular interfering factor and define a novel host-virus interaction, suggesting that the inability of TGase 2 to inactivate HPV16 E7 could explain the high prevalence of HPV16 in cervical cancer."
11934887,The human papillomavirus 16 E6 protein binds to tumor necrosis factor (TNF) R1 and protects cells from TNF-induced apoptosis.,"High risk strains of human papillomavirus (HPV), such as HPV 16, cause human cervical carcinoma. The E6 protein of HPV 16 mediates the rapid degradation of p53, although this is not the only function of E6 and cannot completely explain its transforming potential. Previous work in our laboratory has demonstrated that transfection of HPV 16 E6 into the tumor necrosis factor (TNF)-sensitive LM cell line protects expressing cells from TNF-induced apoptosis in a p53-independent manner, and the purpose of this study was to determine the molecular mechanism underlying this protection. Caspase 3 and caspase 8 activation were significantly reduced in E6-expressing cells, indicating that E6 acts early in the TNF apoptotic pathway. In fact, E6 binds directly to TNF R1, as shown both by co-immunoprecipitation and mammalian two-hybrid approaches. E6 requires the same C-terminal portion of TNF R1 for binding as does TNF R1-associated death domain, and TNF R1/TNF R1-associated death domain interactions are decreased in the presence of E6. HA-E6 also blocked cell death triggered by transfection of the death domain of TNF R1. Together, these results provide strong support for a model in which HPV E6 binding to TNF R1 interferes with formation of the death-inducing signaling complex and thus with transduction of proapoptotic signals. They also demonstrate that HPV, like several other viruses, has developed a method for evading the TNF-mediated host immune response."
15215856,A membrane protein complex mediates retro-translocation from the ER lumen into the cytosol.,"Elimination of misfolded proteins from the endoplasmic reticulum (ER) by retro-translocation is an important physiological adaptation to ER stress. This process requires recognition of a substrate in the ER lumen and its subsequent movement through the membrane by the cytosolic p97 ATPase. Here we identify a p97-interacting membrane protein complex in the mammalian ER that links these two events. The central component of the complex, Derlin-1, is a homologue of Der1, a yeast protein whose inactivation prevents the elimination of misfolded luminal ER proteins. Derlin-1 associates with different substrates as they move through the membrane, and inactivation of Derlin-1 in C. elegans causes ER stress. Derlin-1 interacts with US11, a virally encoded ER protein that specifically targets MHC class I heavy chains for export from the ER, as well as with VIMP, a novel membrane protein that recruits the p97 ATPase and its cofactor."
17382937,A proline to glycine mutation in the Lck SH3-domain affects conformational sampling and increases ligand binding affinity.,"Loop flexibility is discussed as a factor that affects ligand binding affinity of SH3 domains. To test this hypothesis, we designed a mutant in which a proline in the RT-loop of the human Lck SH3-domain is replaced by glycine. The dynamics and ligand binding properties of wild-type and mutant LckSH3 were studied by fluorescence and NMR spectroscopy as well as molecular dynamics simulations. Although the mutated residue does not form direct contacts with the ligand, the mutation increases ligand affinity by a factor of eight. The mutant exhibits increased loop flexibility and enhanced sampling of binding-competent conformations. This effect is expected to facilitate ligand binding itself and might also allow formation of tighter contacts in the complex thus resulting in an increased binding affinity."
16474402,Molecular recognition of p53 and MDM2 by USP7/HAUSP.,"The ubiquitin-specific protease, USP7, has key roles in the p53 pathway whereby it stabilizes both p53 and MDM2. We show that the N-terminal domain of USP7 binds two closely spaced 4-residue sites in both p53 and MDM2, falling between p53 residues 359-367 and MDM2 residues 147-159. Cocrystal structures with USP7 were determined for both p53 peptides and for one MDM2 peptide. These peptides bind the same surface of USP7 as Epstein-Barr nuclear antigen-1, explaining the competitive nature of the interactions. The structures and mutagenesis data indicate a preference for a P/AXXS motif in peptides that bind USP7. Contacts made by serine are identical and crucial for all peptides, and Trp165 in the peptide-binding pocket of USP7 is also crucial. These results help to elucidate the mechanism of substrate recognition by USP7 and the regulation of the p53 pathway."
10675342,Hepatitis C virus core protein-induced loss of LZIP function correlates with cellular transformation.,"Hepatitis C virus (HCV) is the major etiological agent of blood-borne non-A non-B hepatitis and a leading cause of liver cirrhosis and hepatocellular carcinoma worldwide. HCV core protein is a multifunctional protein with regulatory functions in cellular transcription and virus-induced transformation and pathogenesis. Here we report on the identification of a bZIP nuclear transcription protein as an HCV core cofactor for transformation. This bZIP factor, designated LZIP, activates CRE-dependent transcription and regulates cell proliferation. Loss of LZIP function in NIH 3T3 cells triggers morphological transformation and anchorage-independent growth. We show that HCV core protein aberrantly sequesters LZIP in the cytoplasm, inactivates LZIP function and potentiates cellular transformation. Our findings suggest that LZIP might serve a novel cellular tumor suppressor function that is targeted by the HCV core."
18474220,Interaction with Ppil3 leads to the cytoplasmic localization of Apoptin in tumor cells.,"Apoptin, a small protein encoded by chicken anemia virus (CAV), induces cell death specifically in cancer cells. In normal cells, Apoptin remains in the cytoplasm; whereas in cancerous cells, it migrates into the nucleus and kills the cell. Cellular localization appears to be crucial. Through a yeast two-hybrid screen, we identified human Peptidyl-prolyl isomerase-like 3 (Ppil3) as one of the Apoptin-associated proteins. Ppil3 could bind Apoptin directly, and held Apoptin in cytoplasm even in tumor cells. We then demonstrated that the nuclearcytoplasmic distribution of Apoptin is related to the expression level of intrinsic Ppil3. Moreover, extrinsic modifying of Ppil3 levels also resulted in nuclearcytoplasmic shuffling of Apoptin. The Apoptin P109A mutant, located between the putative nuclear localization and export signals, could significantly impair the function of Ppil3. Our results suggest a new direction for the localization mechanism study of Apoptin in cells."
9874765,"CIR, a corepressor linking the DNA binding factor CBF1 to the histone deacetylase complex.","CBF1 is a member of the CSL family of DNA binding factors, which mediate either transcriptional repression or transcriptional activation. CSL proteins play a central role in Notch signaling and in Epstein-Barr virus-induced immortalization. Notch is a transmembrane protein involved in cell-fate decisions, and the cytoplasmic domain of Notch (NotchIC) targets CBF1. The Epstein-Barr virus-immortalizing protein EBNA2 activates both cellular and viral gene expression by targeting CBF1 and mimicking NotchIC. We have examined the mechanism of CBF1-mediated repression and show that CBF1 binds to a unique corepressor, CBF1 interacting corepressor (CIR). A CIR homolog is encoded by Caenorhabditis elegans, indicating that CIR is evolutionarily conserved. Two CBF1 mutants that were unable to bind CIR did not function as repressors, suggesting that targeting of CIR to CBF1 is an important component of repression. When expressed as a Gal4 fusion protein, CIR repressed reporter gene expression. CIR binds to histone deacetylase and to SAP30 and serves as a linker between CBF1 and the histone deacetylase complex."
18305892,Search for cellular partners of human papillomavirus type 16 E2 protein.,"Human papillomaviruses (HPVs) are small, double-stranded DNA viruses that infect cutaneous and mucosal epithelia. Type 16 (HPV16) displays tropism to genital epithelia, giving rise to genital warts and cervical intraepithelial neoplasia (CIN), which is a precursor lesion to invasive carcinoma of the cervix. The great majority of human cervical cancers contain integrated HPV DNA where the E2 gene is usually disrupted, suggesting that the loss of the E2 protein is an important step in HPV-induced carcinogenesis. The HPV16 E2 protein is a regulatory protein that seems to be essential for creating favourable conditions for establishment of infection and proper completion of the viral life cycle. Recently, diverse activities of the E2 proteins have been described, but the molecular basis of these processes has not beenfully elucidated. Using a yeast two-hybrid system, we have identified epithelial cellular proteins that bind to the E2 protein of HPV16."
